药物名称,drug_name,smiles,药物别名,全球最高研发状态,中国最高研发状态,首批年份,原研公司,Active公司,治疗领域/适应症,全球批准适应症,中国批准适应症,全球最高研发状态适应症,中国最高研发状态适应症,Active适应症,ATC代码,靶点,作用机制,药物类型大类,药物类型,中国一类,是否NME,是否复方,是否First-in-Class,是否QIDP,国家/区域,上市国家/区域,首批国家/区域,CAS 号,Inactive公司,Inactive适应症,最后更新日期,drugbank_url
Sulfamethoxazole/Sulfadiazine/Trimethoprim(磺胺甲噁唑/磺胺嘧啶/甲氧苄啶),Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,"联磺甲氧苄啶; 君独克; 
Sulfamethoxazale，Sulfadiazine and Trimethoprim Tablets; 
联磺甲氧苄啶; 
",批准上市,批准上市,NA,NA,NA,"泌尿系统感染;
支气管炎;
中耳炎;
","泌尿系统感染;
支气管炎;
中耳炎;
","泌尿系统感染;
支气管炎;
中耳炎;
","泌尿系统感染;
支气管炎;
中耳炎;
","泌尿系统感染;
支气管炎;
中耳炎;
","泌尿系统感染;
支气管炎;
中耳炎;
","J01EE;
","DHPS;
DHFR;
","Dihydropteroate synthase inhibitors(DHPS抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,68-35-9(Sulfadiazine); 738-70-5(Trimethoprim); 723-46-6(Sulfamethoxazole);,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB00440
Cefalexin/Trimethoprim(头孢氨苄/甲氧苄啶),Cefalexin,[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,"头孢氨苄甲氧苄啶; 
セファレキシン · トリメトプリム;
",批准上市,批准上市,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J01;
","PBPs;
DHFR;
","Bacterial penicillin-binding protein inhibitors(PBPs抑制剂); 
Cell wall inhibitors(细胞壁抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,是,是,否,否,"中国大陆;
","中国大陆;
",NA,738-70-5(Trimethoprim); 23325-78-2(Cephalexin Monohydrate);,NA,NA,2020-09-14,https://go.drugbank.com/drugs/DB00567
Cefalexin/Trimethoprim(头孢氨苄/甲氧苄啶),Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,"头孢氨苄甲氧苄啶; 
セファレキシン · トリメトプリム;
",批准上市,批准上市,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J01;
","PBPs;
DHFR;
","Bacterial penicillin-binding protein inhibitors(PBPs抑制剂); 
Cell wall inhibitors(细胞壁抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,是,是,否,否,"中国大陆;
","中国大陆;
",NA,738-70-5(Trimethoprim); 23325-78-2(Cephalexin Monohydrate);,NA,NA,2020-09-14,https://go.drugbank.com/drugs/DB00440
Sulfamethoxydiazine/Trimethoprim(磺胺对甲氧嘧啶/甲氧苄啶),Sulfamethoxydiazine,COC1=CN=C(NS(=O)(=O)C2=CC=C(N)C=C2)N=C1,"Compound Sulfamethoxydiazine Tablets; 
复方磺胺对甲氧嘧啶片; 
",批准上市,批准上市,NA,NA,NA,"肺炎链球菌感染;
革兰氏阴性细菌感染;
链球菌感染;
脑膜炎球菌感染;
","肺炎链球菌感染;
革兰氏阴性细菌感染;
链球菌感染;
脑膜炎球菌感染;
","肺炎链球菌感染;
革兰氏阴性细菌感染;
链球菌感染;
脑膜炎球菌感染;
","肺炎链球菌感染;
革兰氏阴性细菌感染;
链球菌感染;
脑膜炎球菌感染;
","肺炎链球菌感染;
革兰氏阴性细菌感染;
链球菌感染;
脑膜炎球菌感染;
","肺炎链球菌感染;
革兰氏阴性细菌感染;
链球菌感染;
脑膜炎球菌感染;
",NA,"DHPS;
DHFR;
","Dihydropteroate synthase inhibitors(DHPS抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,651-06-9(Sulfameter); 738-70-5(Trimethoprim);,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB06821
Sulfamethoxydiazine/Trimethoprim(磺胺对甲氧嘧啶/甲氧苄啶),Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,"Compound Sulfamethoxydiazine Tablets; 
复方磺胺对甲氧嘧啶片; 
",批准上市,批准上市,NA,NA,NA,"肺炎链球菌感染;
革兰氏阴性细菌感染;
链球菌感染;
脑膜炎球菌感染;
","肺炎链球菌感染;
革兰氏阴性细菌感染;
链球菌感染;
脑膜炎球菌感染;
","肺炎链球菌感染;
革兰氏阴性细菌感染;
链球菌感染;
脑膜炎球菌感染;
","肺炎链球菌感染;
革兰氏阴性细菌感染;
链球菌感染;
脑膜炎球菌感染;
","肺炎链球菌感染;
革兰氏阴性细菌感染;
链球菌感染;
脑膜炎球菌感染;
","肺炎链球菌感染;
革兰氏阴性细菌感染;
链球菌感染;
脑膜炎球菌感染;
",NA,"DHPS;
DHFR;
","Dihydropteroate synthase inhibitors(DHPS抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,651-06-9(Sulfameter); 738-70-5(Trimethoprim);,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB00440
Sulfamonomethoxine/Trimethoprim(磺胺间甲氧嘧啶/甲氧苄啶),Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,"Compound Sulfamonomethoxine Trimethoprim Tablets; 
复方磺胺间甲氧嘧啶片; 
",批准上市,批准上市,NA,NA,NA,"感染;
","感染;
","感染;
","感染;
","感染;
","感染;
",NA,"DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,NA,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB00440
Sulfadiazine/Trimethoprim(磺胺嘧啶/甲氧苄啶),Sulfadiazine,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,"Compound Sulfadiazine Granules; 
双嘧啶颗粒; 
スルファジアジン · トリメトプリム;
",批准上市,批准上市,NA,NA,NA,"慢性支气管炎;
泌尿系统感染;
中耳炎;
","慢性支气管炎;
泌尿系统感染;
中耳炎;
","慢性支气管炎;
泌尿系统感染;
中耳炎;
","慢性支气管炎;
泌尿系统感染;
中耳炎;
","慢性支气管炎;
泌尿系统感染;
中耳炎;
","慢性支气管炎;
泌尿系统感染;
中耳炎;
",NA,"DHPS;
DHFR;
","Dihydropteroate synthase inhibitors(DHPS抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,68-35-9(Sulfadiazine); 738-70-5(Trimethoprim);,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB00359
Sulfadiazine/Trimethoprim(磺胺嘧啶/甲氧苄啶),Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,"Compound Sulfadiazine Granules; 
双嘧啶颗粒; 
スルファジアジン · トリメトプリム;
",批准上市,批准上市,NA,NA,NA,"慢性支气管炎;
泌尿系统感染;
中耳炎;
","慢性支气管炎;
泌尿系统感染;
中耳炎;
","慢性支气管炎;
泌尿系统感染;
中耳炎;
","慢性支气管炎;
泌尿系统感染;
中耳炎;
","慢性支气管炎;
泌尿系统感染;
中耳炎;
","慢性支气管炎;
泌尿系统感染;
中耳炎;
",NA,"DHPS;
DHFR;
","Dihydropteroate synthase inhibitors(DHPS抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,68-35-9(Sulfadiazine); 738-70-5(Trimethoprim);,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB00440
Fosfomycin calcium/Trimethoprim(磷霉素钙/甲氧苄啶),Fosfomycin calcium,C[C@@H]1O[C@@H]1P(O)(O)=O,"Fosfomycin Calcium and Trimethoprim Capsules; 
磷霉素钙甲氧苄啶胶囊; 
",批准上市,批准上市,NA,NA,NA,"革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
","革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
","革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
","革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
","革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
","革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
",NA,"Peptidoglycan;
DHFR;
","Peptidoglycan inhibitors(肽聚糖抑制剂); 
Cell wall inhibitors(细胞壁抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,26016-98-8(Fosfomycin calcium); 738-70-5(Trimethoprim);,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB00828
Fosfomycin calcium/Trimethoprim(磷霉素钙/甲氧苄啶),Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,"Fosfomycin Calcium and Trimethoprim Capsules; 
磷霉素钙甲氧苄啶胶囊; 
",批准上市,批准上市,NA,NA,NA,"革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
","革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
","革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
","革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
","革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
","革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
",NA,"Peptidoglycan;
DHFR;
","Peptidoglycan inhibitors(肽聚糖抑制剂); 
Cell wall inhibitors(细胞壁抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,26016-98-8(Fosfomycin calcium); 738-70-5(Trimethoprim);,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB00440
Gentamicin Sulfate/Trimethoprim(硫酸庆大霉素/甲氧苄啶),Gentamicin Sulfate,[H][C@@]1(CN)CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)N.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)NC,"Gentamycin Sulfate and Trimethoprim Injection; 
庆大霉素甲氧苄啶注射液; 
ゲンタマイシン硫酸塩 · トリメトプリム;
",批准上市,批准上市,NA,NA,NA,"大肠杆菌感染;
革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
假单胞菌感染;
葡萄球菌感染;
","大肠杆菌感染;
革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
假单胞菌感染;
葡萄球菌感染;
","大肠杆菌感染;
革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
假单胞菌感染;
葡萄球菌感染;
","大肠杆菌感染;
革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
假单胞菌感染;
葡萄球菌感染;
","大肠杆菌感染;
革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
假单胞菌感染;
葡萄球菌感染;
","大肠杆菌感染;
革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
假单胞菌感染;
葡萄球菌感染;
",NA,"30S subunit;
DHFR;
","30S ribosomal subunit inhibitors(30S subunit抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,738-70-5(Trimethoprim); 1405-41-0(Gentamicin Sulfate);,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB00798
Gentamicin Sulfate/Trimethoprim(硫酸庆大霉素/甲氧苄啶),Trimethoprim,[H][C@@]1(CN)CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)N.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)NC,"Gentamycin Sulfate and Trimethoprim Injection; 
庆大霉素甲氧苄啶注射液; 
ゲンタマイシン硫酸塩 · トリメトプリム;
",批准上市,批准上市,NA,NA,NA,"大肠杆菌感染;
革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
假单胞菌感染;
葡萄球菌感染;
","大肠杆菌感染;
革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
假单胞菌感染;
葡萄球菌感染;
","大肠杆菌感染;
革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
假单胞菌感染;
葡萄球菌感染;
","大肠杆菌感染;
革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
假单胞菌感染;
葡萄球菌感染;
","大肠杆菌感染;
革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
假单胞菌感染;
葡萄球菌感染;
","大肠杆菌感染;
革兰氏阳性细菌感染;
革兰氏阴性细菌感染;
假单胞菌感染;
葡萄球菌感染;
",NA,"30S subunit;
DHFR;
","30S ribosomal subunit inhibitors(30S subunit抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,738-70-5(Trimethoprim); 1405-41-0(Gentamicin Sulfate);,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB00798
Berberine Hydrochloride/Trimethoprim(盐酸小檗碱/甲氧苄啶),Berberine Hydrochloride,COC1=CC=C2C=C3C4=CC5=C(OCO5)C=C4CC[N+]3=CC2=C1OC,"Berberine Hydrochloride and Trimethoprim Tablets; Berberine Hydrochloride and Trimethoprim Capsules; 
小檗碱甲氧苄啶片; 小檗碱甲氧苄啶胶囊; 
塩化ベルベリン · トリメトプリム;
",批准上市,批准上市,NA,NA,NA,"胃肠炎;
","胃肠炎;
","胃肠炎;
","胃肠炎;
","胃肠炎;
","胃肠炎;
",NA,"DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,5956-60-5(Berberine Hydrochloride Hydrate); 738-70-5(Trimethoprim);,NA,NA,2021-12-16,https://go.drugbank.com/drugs/DB04115
Berberine Hydrochloride/Trimethoprim(盐酸小檗碱/甲氧苄啶),Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,"Berberine Hydrochloride and Trimethoprim Tablets; Berberine Hydrochloride and Trimethoprim Capsules; 
小檗碱甲氧苄啶片; 小檗碱甲氧苄啶胶囊; 
塩化ベルベリン · トリメトプリム;
",批准上市,批准上市,NA,NA,NA,"胃肠炎;
","胃肠炎;
","胃肠炎;
","胃肠炎;
","胃肠炎;
","胃肠炎;
",NA,"DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,5956-60-5(Berberine Hydrochloride Hydrate); 738-70-5(Trimethoprim);,NA,NA,2021-12-16,https://go.drugbank.com/drugs/DB00440
Sulfamethoxazole/Trimethoprim/Artificial Bezoar/Borneol(磺胺甲噁唑/甲氧苄啶/人工牛黄/冰片),Sulfamethoxazole,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,"Sulfmethoxazole,Trimethoprim,Boneol and Artificial Cow-bezoar Tablets; 
磺啶冰黄片; 
",批准上市,批准上市,NA,NA,NA,"扁桃体炎;
肠炎;
痢疾;
泌尿系统感染;
支气管炎;
","扁桃体炎;
肠炎;
痢疾;
泌尿系统感染;
支气管炎;
","扁桃体炎;
肠炎;
痢疾;
泌尿系统感染;
支气管炎;
","扁桃体炎;
肠炎;
痢疾;
泌尿系统感染;
支气管炎;
","扁桃体炎;
肠炎;
痢疾;
泌尿系统感染;
支气管炎;
","扁桃体炎;
肠炎;
痢疾;
泌尿系统感染;
支气管炎;
",NA,"DHPS;
DHFR;
","Dihydropteroate synthase inhibitors(DHPS抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,NA,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB01015
Sulfamethoxazole/Trimethoprim/Artificial Bezoar/Borneol(磺胺甲噁唑/甲氧苄啶/人工牛黄/冰片),Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,"Sulfmethoxazole,Trimethoprim,Boneol and Artificial Cow-bezoar Tablets; 
磺啶冰黄片; 
",批准上市,批准上市,NA,NA,NA,"扁桃体炎;
肠炎;
痢疾;
泌尿系统感染;
支气管炎;
","扁桃体炎;
肠炎;
痢疾;
泌尿系统感染;
支气管炎;
","扁桃体炎;
肠炎;
痢疾;
泌尿系统感染;
支气管炎;
","扁桃体炎;
肠炎;
痢疾;
泌尿系统感染;
支气管炎;
","扁桃体炎;
肠炎;
痢疾;
泌尿系统感染;
支气管炎;
","扁桃体炎;
肠炎;
痢疾;
泌尿系统感染;
支气管炎;
",NA,"DHPS;
DHFR;
","Dihydropteroate synthase inhibitors(DHPS抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,NA,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB00440
Sulfamethoxazole/Trimethoprim/Artificial Bezoar/Borneol(磺胺甲噁唑/甲氧苄啶/人工牛黄/冰片),Borneol,CC1(C)C2CCC1(C)C(O)C2,"Sulfmethoxazole,Trimethoprim,Boneol and Artificial Cow-bezoar Tablets; 
磺啶冰黄片; 
",批准上市,批准上市,NA,NA,NA,"扁桃体炎;
肠炎;
痢疾;
泌尿系统感染;
支气管炎;
","扁桃体炎;
肠炎;
痢疾;
泌尿系统感染;
支气管炎;
","扁桃体炎;
肠炎;
痢疾;
泌尿系统感染;
支气管炎;
","扁桃体炎;
肠炎;
痢疾;
泌尿系统感染;
支气管炎;
","扁桃体炎;
肠炎;
痢疾;
泌尿系统感染;
支气管炎;
","扁桃体炎;
肠炎;
痢疾;
泌尿系统感染;
支气管炎;
",NA,"DHPS;
DHFR;
","Dihydropteroate synthase inhibitors(DHPS抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,NA,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB11288
Bromhexine Hydrochloride/Clorprenaline Hydrochloride/Sulfamethoxazole/Trimethoprim(盐酸溴己新/盐酸氯丙那林/磺胺甲噁唑/甲氧苄啶),Bromhexine Hydrochloride,CN(CC1=CC(Br)=CC(Br)=C1N)C1CCCCC1,"Sulfamethoxazole,Trimethoprim Bromhexine Hydrochloride and Clorprenaline Hydrochloride Capsules; 
磺啶新林胶囊; 
ブロムヘキシン塩酸塩 · 塩酸クロルプレナリン · スルファメトキサゾール · トリメトプリム;
",批准上市,批准上市,NA,NA,NA,"哮喘;
支气管炎;
","哮喘;
支气管炎;
","哮喘;
支气管炎;
","哮喘;
支气管炎;
","哮喘;
支气管炎;
","哮喘;
支气管炎;
",NA,"ADRB2;
DHPS;
DHFR;
","Beta-2 adrenergic receptor agonists(ADRB2激动剂); 
Dihydropteroate synthase inhibitors(DHPS抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,611-75-6(Bromhexine Hydrochloride); 6933-90-0(Clorprenaline hydrochloride); 738-70-5(Trimethoprim); 723-46-6(Sulfamethoxazole);,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB09019
Bromhexine Hydrochloride/Clorprenaline Hydrochloride/Sulfamethoxazole/Trimethoprim(盐酸溴己新/盐酸氯丙那林/磺胺甲噁唑/甲氧苄啶),Sulfamethoxazole,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,"Sulfamethoxazole,Trimethoprim Bromhexine Hydrochloride and Clorprenaline Hydrochloride Capsules; 
磺啶新林胶囊; 
ブロムヘキシン塩酸塩 · 塩酸クロルプレナリン · スルファメトキサゾール · トリメトプリム;
",批准上市,批准上市,NA,NA,NA,"哮喘;
支气管炎;
","哮喘;
支气管炎;
","哮喘;
支气管炎;
","哮喘;
支气管炎;
","哮喘;
支气管炎;
","哮喘;
支气管炎;
",NA,"ADRB2;
DHPS;
DHFR;
","Beta-2 adrenergic receptor agonists(ADRB2激动剂); 
Dihydropteroate synthase inhibitors(DHPS抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,611-75-6(Bromhexine Hydrochloride); 6933-90-0(Clorprenaline hydrochloride); 738-70-5(Trimethoprim); 723-46-6(Sulfamethoxazole);,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB01015
Bromhexine Hydrochloride/Clorprenaline Hydrochloride/Sulfamethoxazole/Trimethoprim(盐酸溴己新/盐酸氯丙那林/磺胺甲噁唑/甲氧苄啶),Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,"Sulfamethoxazole,Trimethoprim Bromhexine Hydrochloride and Clorprenaline Hydrochloride Capsules; 
磺啶新林胶囊; 
ブロムヘキシン塩酸塩 · 塩酸クロルプレナリン · スルファメトキサゾール · トリメトプリム;
",批准上市,批准上市,NA,NA,NA,"哮喘;
支气管炎;
","哮喘;
支气管炎;
","哮喘;
支气管炎;
","哮喘;
支气管炎;
","哮喘;
支气管炎;
","哮喘;
支气管炎;
",NA,"ADRB2;
DHPS;
DHFR;
","Beta-2 adrenergic receptor agonists(ADRB2激动剂); 
Dihydropteroate synthase inhibitors(DHPS抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,611-75-6(Bromhexine Hydrochloride); 6933-90-0(Clorprenaline hydrochloride); 738-70-5(Trimethoprim); 723-46-6(Sulfamethoxazole);,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB00440
Sulfamethoxazole/Trimethoprim/Pentoxyverine Citrate/Bromhexine Hydrochloride(磺胺甲噁唑/甲氧苄啶/枸橼酸喷托维林/盐酸溴己新),Sulfamethoxazole,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,"Pediatric Pentoxyverine Citrate Sulfamethoxzaole Bromhexine Hydrochloride and Trimethoprim Tablets; Pentoxyverine Citrate Sulfamethoxazole Bromhexine Hydrochloride and Trimethoprim Tablets; 
小儿枸磺新啶片; 枸磺新啶片; 
スルファメトキサゾール · トリメトプリム · ペントキシベリンクエン酸塩 · ブロムヘキシン塩酸塩;
",批准上市,批准上市,NA,NA,NA,"呼吸道感染;
","呼吸道感染;
","呼吸道感染;
","呼吸道感染;
","呼吸道感染;
","呼吸道感染;
",NA,"DHPS;
DHFR;
","Dihydropteroate synthase inhibitors(DHPS抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,611-75-6(Bromhexine Hydrochloride); 23142-01-0(Pentoxyverine Citrate); 738-70-5(Trimethoprim); 723-46-6(Sulfamethoxazole);,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB01015
Sulfamethoxazole/Trimethoprim/Pentoxyverine Citrate/Bromhexine Hydrochloride(磺胺甲噁唑/甲氧苄啶/枸橼酸喷托维林/盐酸溴己新),Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,"Pediatric Pentoxyverine Citrate Sulfamethoxzaole Bromhexine Hydrochloride and Trimethoprim Tablets; Pentoxyverine Citrate Sulfamethoxazole Bromhexine Hydrochloride and Trimethoprim Tablets; 
小儿枸磺新啶片; 枸磺新啶片; 
スルファメトキサゾール · トリメトプリム · ペントキシベリンクエン酸塩 · ブロムヘキシン塩酸塩;
",批准上市,批准上市,NA,NA,NA,"呼吸道感染;
","呼吸道感染;
","呼吸道感染;
","呼吸道感染;
","呼吸道感染;
","呼吸道感染;
",NA,"DHPS;
DHFR;
","Dihydropteroate synthase inhibitors(DHPS抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,611-75-6(Bromhexine Hydrochloride); 23142-01-0(Pentoxyverine Citrate); 738-70-5(Trimethoprim); 723-46-6(Sulfamethoxazole);,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB00440
Sulfamethoxazole/Trimethoprim/Pentoxyverine Citrate/Bromhexine Hydrochloride(磺胺甲噁唑/甲氧苄啶/枸橼酸喷托维林/盐酸溴己新),Pentoxyverine Citrate,CCN(CC)CCOCCOC(=O)C1(CCCC1)C1=CC=CC=C1,"Pediatric Pentoxyverine Citrate Sulfamethoxzaole Bromhexine Hydrochloride and Trimethoprim Tablets; Pentoxyverine Citrate Sulfamethoxazole Bromhexine Hydrochloride and Trimethoprim Tablets; 
小儿枸磺新啶片; 枸磺新啶片; 
スルファメトキサゾール · トリメトプリム · ペントキシベリンクエン酸塩 · ブロムヘキシン塩酸塩;
",批准上市,批准上市,NA,NA,NA,"呼吸道感染;
","呼吸道感染;
","呼吸道感染;
","呼吸道感染;
","呼吸道感染;
","呼吸道感染;
",NA,"DHPS;
DHFR;
","Dihydropteroate synthase inhibitors(DHPS抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,611-75-6(Bromhexine Hydrochloride); 23142-01-0(Pentoxyverine Citrate); 738-70-5(Trimethoprim); 723-46-6(Sulfamethoxazole);,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB11186
