标题,标题链接,CatalogNo.,CasNo.,Name,ReaxyNo.,CNName,cards-box,cards-box-desc1
>6-Fluoro-3H-isobenzofuran-1-one,http://www.acemol.com/23932-84-5.html,Catalog No.:AMOT0697,Cas No.: 23932-84-5,>6-Fluoro-3H-isobenzofuran-1-one,Reaxy No.:,CN Name:6-氟-1(3h)-异苯并呋喃酮,23932-84-5,FC1=CC2=C(COC2=O)C=C1
>7-CHLORO-4-HYDROXY-INDAN-1-ONE,http://www.acemol.com/24425-39-6.html,Catalog No.:AMOT0698,Cas No.: 24425-39-6,>7-CHLORO-4-HYDROXY-INDAN-1-ONE,Reaxy No.:2210203,CN Name:7-氯-4-羟基-1-茚酮,24425-39-6,OC1=CC=C(Cl)C2=C1CCC2=O
>4-METHYL-1-INDANONE,http://www.acemol.com/24644-78-8.html,Catalog No.:AMOT0699,Cas No.: 24644-78-8,>4-METHYL-1-INDANONE,Reaxy No.:,CN Name:4-甲基茚酮,24644-78-8,CC1=CC=CC2=C1CCC2=O
>6-METHOXY-2-TETRALONE,http://www.acemol.com/2472-22-2.html,Catalog No.:AMOT0700,Cas No.: 2472-22-2,>6-METHOXY-2-TETRALONE,Reaxy No.:1447544,CN Name:6-甲氧基-2-四氢萘酮,2472-22-2,COC1=CC2=C(CC(=O)CC2)C=C1
">6,7-dichloro-3,4-dihydro-2H-naphthalen-1-one",http://www.acemol.com/25095-57-2.html,Catalog No.:AMOT0701,Cas No.: 25095-57-2,">6,7-dichloro-3,4-dihydro-2H-naphthalen-1-one",Reaxy No.:2498641,"CN Name:6,7-二氯-3,4-二氢-1H-2-萘酮",25095-57-2,ClC1=CC2=C(C=C1Cl)C(=O)CCC2
">6,8-Difluorochroman-4-one",http://www.acemol.com/259655-01-1.html,Catalog No.:AMOT0702,Cas No.: 259655-01-1,">6,8-Difluorochroman-4-one",Reaxy No.:2096928,"CN Name:6,8-二氟苯并二氢吡喃-4-酮",259655-01-1,FC1=CC2=C(OCCC2=O)C(F)=C1
">5-bromo-6-methoxy-3,4-dihydro-2H-naphthalen-1-one",http://www.acemol.com/26231-23-2.html,Catalog No.:AMOT0703,Cas No.: 26231-23-2,">5-bromo-6-methoxy-3,4-dihydro-2H-naphthalen-1-one",Reaxy No.:2831160,CN Name:5-溴-6-甲氧基-1-四氢萘酮,26231-23-2,COC1=C(Br)C2=C(C=C1)C(=O)CCC2
>(R)-3-AMINO-3-(3-CHLORO-PHENYL)-PROPIONIC ACID,http://www.acemol.com/262429-49-2.html,Catalog No.:AMOT0704,Cas No.: 262429-49-2,>(R)-3-AMINO-3-(3-CHLORO-PHENYL)-PROPIONIC ACID,Reaxy No.:2449173,CN Name:(R)-3-氨基-3-(3-氯苯基)-丙酸,262429-49-2,N[C@H](CC(O)=O)C1=CC=CC(Cl)=C1
>5-CHLORO-1-TETRALONE,http://www.acemol.com/26673-30-3.html,Catalog No.:AMOT0705,Cas No.: 26673-30-3,>5-CHLORO-1-TETRALONE,Reaxy No.:,CN Name:5-氯-1-四氢萘酮,26673-30-3,ClC1=CC=CC2=C1CCCC2=O
">6-chloro-3,4-dihydronaphthalen-1(2H)-one",http://www.acemol.com/26673-31-4.html,Catalog No.:AMOT0706,Cas No.: 26673-31-4,">6-chloro-3,4-dihydronaphthalen-1(2H)-one",Reaxy No.:2043990,"CN Name:6-氯-3,4-二氢-2H-1-萘酮",26673-31-4,ClC1=CC2=C(C=C1)C(=O)CCC2
>7-CHLORO-1-TETRALONE,http://www.acemol.com/26673-32-5.html,Catalog No.:AMOT0707,Cas No.: 26673-32-5,>7-CHLORO-1-TETRALONE,Reaxy No.:2084315,CN Name:7-氯-1-四氢萘酮,26673-32-5,ClC1=CC2=C(CCCC2=O)C=C1
>5-Hydroxy-1-tetralone;,http://www.acemol.com/28315-93-7.html,Catalog No.:AMOT0708,Cas No.: 28315-93-7,>5-Hydroxy-1-tetralone;,Reaxy No.:2973367,CN Name:5-羟基-1-四氢萘酮,28315-93-7,OC1=CC=CC2=C1CCCC2=O
>7-FLUORO-1-TETRALONE,http://www.acemol.com/2840-44-0.html,Catalog No.:AMOT0709,Cas No.: 2840-44-0,>7-FLUORO-1-TETRALONE,Reaxy No.:2437410,CN Name:7-氟-1-四氢萘酮,2840-44-0,FC1=CC2=C(CCCC2=O)C=C1
">6-FLUORO-3,4-DIHYDRO-1H-NAPHTHALEN-2-ONE",http://www.acemol.com/29419-14-5.html,Catalog No.:AMOT0710,Cas No.: 29419-14-5,">6-FLUORO-3,4-DIHYDRO-1H-NAPHTHALEN-2-ONE",Reaxy No.:4769137,"CN Name:6-氟-3,4-二氢-1H-2-萘酮",29419-14-5,FC1=CC2=C(CC(=O)CC2)C=C1
>7-Fluoro-2-tetralone,http://www.acemol.com/29419-15-6.html,Catalog No.:AMOT0711,Cas No.: 29419-15-6,>7-Fluoro-2-tetralone,Reaxy No.:1945585,"CN Name:7-氟-3,4-二氢-1H-2-萘酮;",29419-15-6,FC1=CC2=C(CCC(=O)C2)C=C1
">6-Fluoro-5-methoxy-2,3-dihydro-1h-inden-1-one",http://www.acemol.com/295779-82-7.html,Catalog No.:AMOT0712,Cas No.: 295779-82-7,">6-Fluoro-5-methoxy-2,3-dihydro-1h-inden-1-one",Reaxy No.:1945664,"CN Name:6-氟-5-甲氧基-2,3-二氢-1H-茚-1-酮",295779-82-7,COC1=CC2=C(C=C1F)C(=O)CC2
>(2R)-2-(4-Fluorophenyl)pyrrolidine,http://www.acemol.com/298690-89-8.html,Catalog No.:AMOT0713,Cas No.: 298690-89-8,>(2R)-2-(4-Fluorophenyl)pyrrolidine,Reaxy No.:8617428,CN Name:(R)-2-(4-氟苯基)吡咯烷,298690-89-8,FC1=CC=C(C=C1)[C@H]1CCCN1
>(S)-2-(4-Fluorophenyl)pyrrolidine,http://www.acemol.com/298690-90-1.html,Catalog No.:AMOT0714,Cas No.: 298690-90-1,>(S)-2-(4-Fluorophenyl)pyrrolidine,Reaxy No.:21746175,CN Name:S-2-(4-氟苯基)四氢吡咯,298690-90-1,FC1=CC=C(C=C1)[C@@H]1CCCN1
">5,6,7-trifluoro-3,4-dihydro-1H-naphthalen-2-one",http://www.acemol.com/313947-31-8.html,Catalog No.:AMOT0715,Cas No.: 313947-31-8,">5,6,7-trifluoro-3,4-dihydro-1H-naphthalen-2-one",Reaxy No.:1722011,"CN Name:5,6,7,-三氟-3,4-二氢-1H-2-萘酮",313947-31-8,FC1=CC2=C(CCC(=O)C2)C(F)=C1F
>8-METHYL-2-TETRALONE,http://www.acemol.com/31701-18-5.html,Catalog No.:AMOT0716,Cas No.: 31701-18-5,>8-METHYL-2-TETRALONE,Reaxy No.:9852511,CN Name:8-甲基-2-四氢萘酮,31701-18-5,CC1=CC=CC2=C1CC(=O)CC2
>7-METHYL-2-TERALONE,http://www.acemol.com/31706-56-6.html,Catalog No.:AMOT0717,Cas No.: 31706-56-6,>7-METHYL-2-TERALONE,Reaxy No.:2085715,CN Name:7-甲基-2-四氢萘酮,31706-56-6,CC1=CC2=C(CCC(=O)C2)C=C1
>6-METHYL-2-TETRALONE,http://www.acemol.com/31706-57-7.html,Catalog No.:AMOT0718,Cas No.: 31706-57-7,>6-METHYL-2-TETRALONE,Reaxy No.:2086804,CN Name:6-甲基-2-四氢萘酮,31706-57-7,CC1=CC2=C(CC(=O)CC2)C=C1
>(S)-3-(1-aminoethyl)aniline,http://www.acemol.com/317830-29-8.html,Catalog No.:AMOT0719,Cas No.: 317830-29-8,>(S)-3-(1-aminoethyl)aniline,Reaxy No.:2086744,CN Name:(R)-3-(1-氨基乙基)苯胺,317830-29-8,C[C@H](N)C1=CC(N)=CC=C1
">4-CHLORO-2,3-DIHYDRO-1H-INDEN-1-OL",http://www.acemol.com/3199-71-1.html,Catalog No.:AMOT0720,Cas No.: 3199-71-1,">4-CHLORO-2,3-DIHYDRO-1H-INDEN-1-OL",Reaxy No.:15681445,"CN Name:4-氯-2,3-二氢-1H-茚-1-醇",3199-71-1,OC1CCC2=C1C=CC=C2Cl
>6-CHLORO-BENZOFURAN-3-ONE,http://www.acemol.com/3260-78-4.html,Catalog No.:AMOT0721,Cas No.: 3260-78-4,>6-CHLORO-BENZOFURAN-3-ONE,Reaxy No.:87400,CN Name:6-氯-3-苯并呋喃酮,3260-78-4,ClC1=CC=C2C(=O)COC2=C1
>7-FLUORO-BENZOFURAN-3-ONE,http://www.acemol.com/3260-94-4.html,Catalog No.:AMOT0722,Cas No.: 3260-94-4,>7-FLUORO-BENZOFURAN-3-ONE,Reaxy No.:121001,CN Name:7-氯-3-苯并呋喃酮,3260-94-4,FC1=C2OCC(=O)C2=CC=C1
>5-CHLORO-BENZOFURAN-3-ONE,http://www.acemol.com/3261-05-0.html,Catalog No.:AMOT0723,Cas No.: 3261-05-0,>5-CHLORO-BENZOFURAN-3-ONE,Reaxy No.:4643,CN Name:5-氯-3-苯并呋喃酮,3261-05-0,ClC1=CC=C2OCC(=O)C2=C1
">5,8-dimethyl-1,2,3,4-tetrahydronaphthalen-1-ol (en)1-Naphthalenol",http://www.acemol.com/32820-12-5.html,Catalog No.:AMOT0724,Cas No.: 32820-12-5,">5,8-dimethyl-1,2,3,4-tetrahydronaphthalen-1-ol (en)1-Naphthalenol",Reaxy No.:130006,CN Name:5，8-二甲基-1-四氢萘醇,32820-12-5,CC1=C2CCCC(O)C2=C(C)C=C1
>5-Methoxyl-2-Tetralone,http://www.acemol.com/32940-15-1.html,Catalog No.:AMOT0725,Cas No.: 32940-15-1,>5-Methoxyl-2-Tetralone,Reaxy No.:2047646,CN Name:5-甲氧基-2-四氢萘酮,32940-15-1,COC1=CC=CC2=C1CCC(=O)C2
">5-Chloro-2,3-dihydro-1h-inden-1-ol",http://www.acemol.com/33781-38-3.html,Catalog No.:AMOT0726,Cas No.: 33781-38-3,">5-Chloro-2,3-dihydro-1h-inden-1-ol",Reaxy No.:3562296,"CN Name:5-氯-2,3-二氢-1H-茚-1-醇",33781-38-3,OC1CCC2=C1C=CC(Cl)=C2
>5-CHLORO-6-METHOXY-1-INDANONE,http://www.acemol.com/344305-70-0.html,Catalog No.:AMOT0727,Cas No.: 344305-70-0,>5-CHLORO-6-METHOXY-1-INDANONE,Reaxy No.:1865016,CN Name:5-氯-6-甲氧基-1-茚满酮,344305-70-0,COC1=CC2=C(CCC2=O)C=C1Cl
">5-bromo-2,3-dihydro-1H-inden-1-ol",http://www.acemol.com/34598-50-0.html,Catalog No.:AMOT0728,Cas No.: 34598-50-0,">5-bromo-2,3-dihydro-1H-inden-1-ol",Reaxy No.:6194855,"CN Name:5-溴-2,3-二氢-1H-茚-1-醇",34598-50-0,OC1CCC2=C1C=CC(Br)=C2
>1-OXO-INDAN-5-CARBOXYLIC ACID,http://www.acemol.com/3470-45-9.html,Catalog No.:AMOT0729,Cas No.: 3470-45-9,>1-OXO-INDAN-5-CARBOXYLIC ACID,Reaxy No.:2359055,CN Name:1-茚满酮-5-羧酸,3470-45-9,OC(=O)C1=CC2=C(C=C1)C(=O)CC2
">5-OXO-5,6,7,8-TETRAHYDRONAPHTHALENE-2-CARBOXYLIC ACID",http://www.acemol.com/3470-46-0.html,Catalog No.:AMOT0730,Cas No.: 3470-46-0,">5-OXO-5,6,7,8-TETRAHYDRONAPHTHALENE-2-CARBOXYLIC ACID",Reaxy No.:3082437,"CN Name:5-羰基-5-5,6,7,8-四氢萘-2-羧酸",3470-46-0,OC(=O)C1=CC=C2C(=O)CCCC2=C1
>6-Hydroxy-1-tetralone,http://www.acemol.com/3470-50-6.html,Catalog No.:AMOT0731,Cas No.: 3470-50-6,>6-Hydroxy-1-tetralone,Reaxy No.:1370076,CN Name:6-羟基-1-四氢萘酮,3470-50-6,OC1=CC2=C(C=C1)C(=O)CCC2
>5-AMINO-1-INDANONE,http://www.acemol.com/3470-54-0.html,Catalog No.:AMOT0732,Cas No.: 3470-54-0,>5-AMINO-1-INDANONE,Reaxy No.:2043992,CN Name:5-氨基茚酮,3470-54-0,NC1=CC2=C(C=C1)C(=O)CC2
>7-METHOXY-1-INDANONE,http://www.acemol.com/34985-41-6.html,Catalog No.:AMOT0733,Cas No.: 34985-41-6,>7-METHOXY-1-INDANONE,Reaxy No.:1636158,CN Name:7-甲氧基茚酮,34985-41-6,COC1=CC=CC2=C1C(=O)CC2
">7-propan-2-yl-3,4-dihydro-2H-naphthalen-1-one",http://www.acemol.com/35338-72-8.html,Catalog No.:AMOT0734,Cas No.: 35338-72-8,">7-propan-2-yl-3,4-dihydro-2H-naphthalen-1-one",Reaxy No.:2240511,CN Name:7-异丙基-1-四氢萘酮,35338-72-8,CC(C)C1=CC2=C(CCCC2=O)C=C1
">6-chloro-2,3-dihydrochromen-4-one",http://www.acemol.com/37674-72-9.html,Catalog No.:AMOT0735,Cas No.: 37674-72-9,">6-chloro-2,3-dihydrochromen-4-one",Reaxy No.:,CN Name:6-氯-4-二氢色原酮,37674-72-9,ClC1=CC2=C(OCCC2=O)C=C1
">6-methyl-2,3-dihydrochromen-4-one",http://www.acemol.com/39513-75-2.html,Catalog No.:AMOT0736,Cas No.: 39513-75-2,">6-methyl-2,3-dihydrochromen-4-one",Reaxy No.:1720922,CN Name:6-甲基-4-二氢色原酮,39513-75-2,CC1=CC2=C(OCCC2=O)C=C1
>7-METHYL-1-INDANONE,http://www.acemol.com/39627-61-7.html,Catalog No.:AMOT0737,Cas No.: 39627-61-7,>7-METHYL-1-INDANONE,Reaxy No.:118779,CN Name:7-甲基-1-茚满酮,39627-61-7,CC1=CC=CC2=C1C(=O)CC2
>METHYL 4-OXOCHROMANE-6-CARBOXYLATE,http://www.acemol.com/41118-19-8.html,Catalog No.:AMOT0738,Cas No.: 41118-19-8,>METHYL 4-OXOCHROMANE-6-CARBOXYLATE,Reaxy No.:1702457,CN Name:4-氧代苯并二氢吡喃-6-羧酸甲酯,41118-19-8,COC(=O)C1=CC2=C(OCCC2=O)C=C1
>METHYL 4-OXOCHROMAN-7-CARBOXYLATE,http://www.acemol.com/41118-21-2.html,Catalog No.:AMOT0739,Cas No.: 41118-21-2,>METHYL 4-OXOCHROMAN-7-CARBOXYLATE,Reaxy No.:1246791,CN Name:4-氧代苯并二氢吡喃-7-羧酸甲酯,41118-21-2,COC(=O)C1=CC2=C(C=C1)C(=O)CCO2
>7-METHOXY-2-TETRALONE,http://www.acemol.com/4133-34-0.html,Catalog No.:AMOT0740,Cas No.: 4133-34-0,>7-METHOXY-2-TETRALONE,Reaxy No.:1722062,CN Name:7-甲氧基-2-四氢萘酮,4133-34-0,COC1=CC2=C(CCC(=O)C2)C=C1
>6-BROMO-2-TETRALONE,http://www.acemol.com/4133-35-1.html,Catalog No.:AMOT0741,Cas No.: 4133-35-1,>6-BROMO-2-TETRALONE,Reaxy No.:1953198,CN Name:6-溴-2-四氢萘酮,4133-35-1,BrC1=CC2=C(CC(=O)CC2)C=C1
">5-hydroxy-6-methyl-3,4-dihydronaphthalen-1(2H)-one",http://www.acemol.com/41552-07-2.html,Catalog No.:AMOT0742,Cas No.: 41552-07-2,">5-hydroxy-6-methyl-3,4-dihydronaphthalen-1(2H)-one",Reaxy No.:2691504,"CN Name:5-羟基-6-甲基-3,4-二氢萘-1(2H)-酮",41552-07-2,CC1=C(O)C2=C(C=C1)C(=O)CCC2
>5-METHYL-2-TETRALONE,http://www.acemol.com/4242-15-3.html,Catalog No.:AMOT0743,Cas No.: 4242-15-3,>5-METHYL-2-TETRALONE,Reaxy No.:2437887,CN Name:5-甲基-2-四氢萘酮,4242-15-3,CC1=CC=CC2=C1CCC(=O)C2
">2,3,5,6-TETRAHYDRO-7H-INDENO[5,6-B]FURAN-7-ONE",http://www.acemol.com/448964-30-5.html,Catalog No.:AMOT0744,Cas No.: 448964-30-5,">2,3,5,6-TETRAHYDRO-7H-INDENO[5,6-B]FURAN-7-ONE",Reaxy No.:4305970,"CN Name:2,3,5,6-四氢-7h-茚并[5,6-b]呋喃-7-酮",448964-30-5,O=C1CCC2=C1C=C1OCCC1=C2
>5-METHYL-1-INDANONE,http://www.acemol.com/4593-38-8.html,Catalog No.:AMOT0745,Cas No.: 4593-38-8,>5-METHYL-1-INDANONE,Reaxy No.:9261397,CN Name:5-甲基茚酮,4593-38-8,CC1=CC2=C(C=C1)C(=O)CC2
">5-Ethyl-2,3-dihydro-1H-inden-1-one",http://www.acemol.com/4600-82-2.html,Catalog No.:AMOT0746,Cas No.: 4600-82-2,">5-Ethyl-2,3-dihydro-1H-inden-1-one",Reaxy No.:1562497,"CN Name:5-乙基-2,3-二氢-1H-茚-1-酮",4600-82-2,CCC1=CC2=C(C=C1)C(=O)CC2
>(1R)CYCLOPROPYL(4-FLUOROPHENYL)METHYLAMINE HCl,http://www.acemol.com/473732-87-5.html,Catalog No.:AMOT0747,Cas No.: 473732-87-5,>(1R)CYCLOPROPYL(4-FLUOROPHENYL)METHYLAMINE HCl,Reaxy No.:4752639,CN Name:(1R)环丙基(4-氟苯基)甲基胺盐酸盐,473732-87-5,N[C@H](C1CC1)C1=CC=C(F)C=C1
>(1S)CYCLOPROPYL(4-FLUOROPHENYL)METHYLAMINE HCl,http://www.acemol.com/473732-88-6.html,Catalog No.:AMOT0748,Cas No.: 473732-88-6,>(1S)CYCLOPROPYL(4-FLUOROPHENYL)METHYLAMINE HCl,Reaxy No.:14250944,CN Name:(1S)环丙基(4-氟苯基)甲基胺盐酸盐,473732-88-6,N[C@@H](C1CC1)C1=CC=C(F)C=C1
">(R)-1-(3,5-DIFLUOROPHENYL)PROPAN-1-AMINE-HCl",http://www.acemol.com/473733-16-3.html,Catalog No.:AMOT0749,Cas No.: 473733-16-3,">(R)-1-(3,5-DIFLUOROPHENYL)PROPAN-1-AMINE-HCl",Reaxy No.:,"CN Name:(R)-1-(3,5-二氟苯基)-1-丙胺盐酸盐",473733-16-3,Cl[H].CC[C@@H](N)C1=CC(F)=CC(F)=C1
>5-METHOXY-3H-ISOBENZOFURAN-1-ONE,http://www.acemol.com/4741-62-2.html,Catalog No.:AMOT0750,Cas No.: 4741-62-2,>5-METHOXY-3H-ISOBENZOFURAN-1-ONE,Reaxy No.:14250953,CN Name:5-甲氧基-1(3h)-异苯并呋喃酮,4741-62-2,COC1=CC2=C(C=C1)C(=O)OC2
>6-METHOXY-3H-ISOBENZOFURAN-1-ONE,http://www.acemol.com/4741-63-3.html,Catalog No.:AMOT0751,Cas No.: 4741-63-3,>6-METHOXY-3H-ISOBENZOFURAN-1-ONE,Reaxy No.:124307,CN Name:6-甲氧基-3H-异苯并呋喃-1-酮,4741-63-3,COC1=CC2=C(COC2=O)C=C1
">6-chloro-5-methoxy-2,3-dihydro-1H-inden-1-one",http://www.acemol.com/475654-43-4.html,Catalog No.:AMOT0752,Cas No.: 475654-43-4,">6-chloro-5-methoxy-2,3-dihydro-1H-inden-1-one",Reaxy No.:123672,"CN Name:6-氯-2,3-二氢-5-甲氧基-1H-茚-1-酮",475654-43-4,COC1=CC2=C(C=C1Cl)C(=O)CC2
>Boc-L-3-Amino-3-(4-fluorophenyl)-propionic acid,http://www.acemol.com/479064-88-5.html,Catalog No.:AMOT0753,Cas No.: 479064-88-5,>Boc-L-3-Amino-3-(4-fluorophenyl)-propionic acid,Reaxy No.:9046943,CN Name:Boc-L-3-氨基-3-(4-氟苯基)丙酸,479064-88-5,CC(C)(C)OC(=O)NC(CC(O)=O)C1=CC=C(F)C=C1
>Boc-D-3-Amino-3-(4-fluorophenyl)-propionic acid,http://www.acemol.com/479064-94-3.html,Catalog No.:AMOT0754,Cas No.: 479064-94-3,>Boc-D-3-Amino-3-(4-fluorophenyl)-propionic acid,Reaxy No.:14419390,CN Name:(R)-叔丁氧羰基-4-氟-β-苯丙氨酸,479064-94-3,CC(C)(C)OC(=O)N[C@H](CC(O)=O)C1=CC=C(F)C=C1
>4-Methoxyisobenzofuran-1(3h)-one,http://www.acemol.com/4792-33-0.html,Catalog No.:AMOT0755,Cas No.: 4792-33-0,>4-Methoxyisobenzofuran-1(3h)-one,Reaxy No.:,CN Name:4-甲氧基异苯并呋喃-1(3h)-酮,4792-33-0,COC1=CC=CC2=C1COC2=O
">8-methyl-2,3-dihydrochromen-4-one",http://www.acemol.com/49660-56-2.html,Catalog No.:AMOT0756,Cas No.: 49660-56-2,">8-methyl-2,3-dihydrochromen-4-one",Reaxy No.:2526898,CN Name:8-甲基-4-色满酮,49660-56-2,CC1=CC=CC2=C1OCCC2=O
">6-bromo-2,3-dihydrochromen-4-one",http://www.acemol.com/49660-57-3.html,Catalog No.:AMOT0757,Cas No.: 49660-57-3,">6-bromo-2,3-dihydrochromen-4-one",Reaxy No.:118063,CN Name:6-溴-4-二氢色原酮,49660-57-3,BrC1=CC2=C(OCCC2=O)C=C1
">8-chloro-2,3-dihydrochromen-4-one",http://www.acemol.com/49701-11-3.html,Catalog No.:AMOT0758,Cas No.: 49701-11-3,">8-chloro-2,3-dihydrochromen-4-one",Reaxy No.:125216,CN Name:8-氯-4-二氢色原酮,49701-11-3,ClC1=CC=CC2=C1OCCC2=O
>(R)-3-amino-3-(4-bromophenyl)propanoic acid hydrochloride,http://www.acemol.com/499794-78-4.html,Catalog No.:AMOT0759,Cas No.: 499794-78-4,>(R)-3-amino-3-(4-bromophenyl)propanoic acid hydrochloride,Reaxy No.:125166,CN Name:(R)-3-氨基-3-(4-溴苯基)丙酸盐酸盐,499794-78-4,Cl[H].N[C@H](CC(O)=O)C1=CC=C(Br)C=C1
>BOC-(S)-3-AMINO-3-(2-CHLORO-PHENYL)-PROPIONIC ACID,http://www.acemol.com/500770-73-0.html,Catalog No.:AMOT0760,Cas No.: 500770-73-0,>BOC-(S)-3-AMINO-3-(2-CHLORO-PHENYL)-PROPIONIC ACID,Reaxy No.:,CN Name:BOC-(S)-3-氨基-3-(2-氯苯基)-丙酸,500770-73-0,CC(C)(C)OC(=O)N[C@@H](CC(O)=O)C1=CC=CC=C1Cl
">4,7-Dimethyl-1-indanone",http://www.acemol.com/5037-60-5.html,Catalog No.:AMOT0761,Cas No.: 5037-60-5,">4,7-Dimethyl-1-indanone",Reaxy No.:9258169,"CN Name:4,7-二甲基-1-茚满酮",5037-60-5,CC1=CC=C(C)C2=C1CCC2=O
">6-ethoxy-3,4-dihydro-2H-naphthalen-1-one",http://www.acemol.com/50676-12-5.html,Catalog No.:AMOT0762,Cas No.: 50676-12-5,">6-ethoxy-3,4-dihydro-2H-naphthalen-1-one",Reaxy No.:1863826,CN Name:6-乙氧基-1-四氢萘酮,50676-12-5,CCOC1=CC2=C(C=C1)C(=O)CCC2
>6-METHYL-1-TETRALONE,http://www.acemol.com/51015-29-3.html,Catalog No.:AMOT0763,Cas No.: 51015-29-3,>6-METHYL-1-TETRALONE,Reaxy No.:3246742,"CN Name:3,4-二氢化-6-甲基-1(2H)-萘酮",51015-29-3,CC1=CC2=C(C=C1)C(=O)CCC2
>7-Bromo-3-benzofuranone,http://www.acemol.com/519018-52-1.html,Catalog No.:AMOT0764,Cas No.: 519018-52-1,>7-Bromo-3-benzofuranone,Reaxy No.:205955,CN Name:7-溴-3-苯并呋喃酮,519018-52-1,BrC1=C2OCC(=O)C2=CC=C1
">5,8-dimethyl-3,4-dihydro-2H-chromen-4-ol",http://www.acemol.com/51950-89-1.html,Catalog No.:AMOT0765,Cas No.: 51950-89-1,">5,8-dimethyl-3,4-dihydro-2H-chromen-4-ol",Reaxy No.:20978116,"CN Name:5,8-二甲基-苯并二氢吡喃-4-醇",51950-89-1,CC1=CC=C(C)C2=C1OCCC2O
>4-CHLOROPHTHALIDE,http://www.acemol.com/52010-22-7.html,Catalog No.:AMOT0766,Cas No.: 52010-22-7,>4-CHLOROPHTHALIDE,Reaxy No.:1368849,CN Name:4-氯-3H-1-异苯并呋喃酮,52010-22-7,ClC1=CC=CC2=C1COC2=O
">5-fluoro-2,3-dihydro-1H-inden-1-ol",http://www.acemol.com/52085-92-4.html,Catalog No.:AMOT0767,Cas No.: 52085-92-4,">5-fluoro-2,3-dihydro-1H-inden-1-ol",Reaxy No.:124386,"CN Name:5-氟-2,3-二氢-茚-1-醇",52085-92-4,OC1CCC2=C1C=CC(F)=C2
>6-fluoroindan-1-ol,http://www.acemol.com/52085-94-6.html,Catalog No.:AMOT0768,Cas No.: 52085-94-6,>6-fluoroindan-1-ol,Reaxy No.:1865015,"CN Name:6-氟-2,3-二氢-茚-1-醇",52085-94-6,OC1CCC2=C1C=C(F)C=C2
>6-Chloro-1-indanol,http://www.acemol.com/52085-98-0.html,Catalog No.:AMOT0769,Cas No.: 52085-98-0,>6-Chloro-1-indanol,Reaxy No.:1868173,"CN Name:6-氯-2,3-二氢-茚-1-醇",52085-98-0,OC1CCC2=C1C=C(Cl)C=C2
">4,6-DICHLORO-1-INDANONE",http://www.acemol.com/52397-81-6.html,Catalog No.:AMOT0770,Cas No.: 52397-81-6,">4,6-DICHLORO-1-INDANONE",Reaxy No.:1868175,"CN Name:4,6-二氯-2,3-二氢-1H-茚-1-酮",52397-81-6,ClC1=CC2=C(CCC2=O)C(Cl)=C1
>8-METHOXY-2-TETRALONE,http://www.acemol.com/5309-19-3.html,Catalog No.:AMOT0771,Cas No.: 5309-19-3,>8-METHOXY-2-TETRALONE,Reaxy No.:3083662,CN Name:8-甲氧基-2-四氢萘酮,5309-19-3,COC1=CC=CC2=C1CC(=O)CC2
">4-chloro-7-methyl-2,3-dihydroinden-1-one",http://www.acemol.com/5333-90-4.html,Catalog No.:AMOT0772,Cas No.: 5333-90-4,">4-chloro-7-methyl-2,3-dihydroinden-1-one",Reaxy No.:2248004,CN Name:4-氯-7-甲基-1-茚酮,5333-90-4,CC1=CC=C(Cl)C2=C1C(=O)CC2
>4-Bromo-7-methoxy-indan-1-one,http://www.acemol.com/5411-61-0.html,Catalog No.:AMOT0774,Cas No.: 5411-61-0,>4-Bromo-7-methoxy-indan-1-one,Reaxy No.:5832139,CN Name:4-溴-7-甲氧基-1-茚满酮,5411-61-0,COC1=CC=C(Br)C2=C1C(=O)CC2
>5-Methyl-3(2H)-benzofuranone,http://www.acemol.com/54120-66-0.html,Catalog No.:AMOT0775,Cas No.: 54120-66-0,>5-Methyl-3(2H)-benzofuranone,Reaxy No.:3258975,CN Name:5-甲基-3-苯并呋喃酮,54120-66-0,CC1=CC=C2OCC(=O)C2=C1
>5-Bromo-3(2H)-benzofuranone,http://www.acemol.com/54450-20-3.html,Catalog No.:AMOT0776,Cas No.: 54450-20-3,>5-Bromo-3(2H)-benzofuranone,Reaxy No.:122586,CN Name:5-溴-3-苯并呋喃酮,54450-20-3,BrC1=CC=C2OCC(=O)C2=C1
>7-(TRIFLUOROMETHYL)-1-TETRALONE,http://www.acemol.com/54752-50-0.html,Catalog No.:AMOT0777,Cas No.: 54752-50-0,>7-(TRIFLUOROMETHYL)-1-TETRALONE,Reaxy No.:9467308,CN Name:7-三氟甲基-1-四氢萘酮,54752-50-0,FC(F)(F)C1=CC2=C(CCCC2=O)C=C1
>5-Fluoro-2-tetralone,http://www.acemol.com/548771-68-2.html,Catalog No.:AMOT0778,Cas No.: 548771-68-2,>5-Fluoro-2-tetralone,Reaxy No.:9398157,CN Name:5-氟-2-四氢萘酮,548771-68-2,FC1=CC=CC2=C1CCC(=O)C2
">6,7-Difluoro-2-tetralone",http://www.acemol.com/552321-02-5.html,Catalog No.:AMOT0779,Cas No.: 552321-02-5,">6,7-Difluoro-2-tetralone",Reaxy No.:5862235,"CN Name:6,7-二氟-3,4-二氢-1H-2-萘酮",552321-02-5,FC1=CC2=C(CC(=O)CC2)C=C1F
